Penyakit,Deskripsi
Nematodosis,"Nematodosis adalah penyakit yang disebabkan oleh cacing nematoda yang menyerang saluran pencernaan hewan ternak seperti sapi, kerbau, kambing, domba, dan babi. Cacing ini merampas sari makanan, menghisap darah, dan memakan jaringan tubuh hewan, menyebabkan gangguan pencernaan, penurunan berat badan, dan kondisi tubuh terganggu. "
Thelazia,"Thelazia, penyakit cacing mata pada hewan ternak, disebabkan oleh cacing Thelazia spp. Penularannya melalui lalat rumah. Gejalanya termasuk keluar air mata, kehadiran cacing Thelazia pada mata, pembengkakan, dan luka yang berujung pada kebutaan. "
Scabies,"Scabies atau kudis merupakan penyakit kulit menular pada hewan ternak dan manusia yang disebabkan oleh infeksi tungau Sarcoptes scabiei. Gejalanya meliputi gatal-gatal, luka-luka, dan lepuh berisi nanah. Penyakit ini menurunkan kondisi hewan, menyebabkan kerusakan kulit, dan dapat mengurangi kualitas daging/karkas. "
Bloat,"Bloat atau kembung perut adalah kondisi akut pada ternak ruminansia yang melibatkan penimbunan gas di dalam lambung. Penyebabnya meliputi faktor makanan dan kondisi fisik ternak itu sendiri. Gejalanya termasuk perut membesar, gelisah, menonjol, serta penurunan nafsu makan. "
Jembrana,"Penyakit Jembrana (Jembrana Diseases/JD) adalah penyakit menular pada sapi bali yang disebabkan oleh virus Retroviridae. Penyakit ini khusus menyerang sapi bali dengan gejala seperti demam tinggi, pembengkakan kelenjar limfe, diare darah, dan berbagai gejala lainnya. Virus ini tidak menular pada manusia. "
Akabane,"Akabane adalah penyakit menular non contagious yang disebabkan oleh virus dan ditandai dengan adanya Arthrogryposis (AG) disertai atau tanpa Hydraencephaly (HE). Hewan yang peka adalah sapi, domba dan kambing. Kerugian yang diakibatkan oleh penyakit Akabane ialah keguguran, mumifi kasi fetus dan kelahiran cacat"
Enzootic Bovine leukosis (EBL),"EBL merupakan penyakit pada hewan dewasa, dijumpai hanya pada hewan diatas umur 2 tahun dan umumnya dijumpai pada umur 4-8 tahun. Penyebarannya yang relatif lambat menunjukan penyakit ini tidak terlalu kontagius. "
Infectious Bovine Rhinotracheitis (IBR),"Infectious Bovine Rhinotracheitis (IBR) adalah penyakit menular pada sapi yang disebabkan oleh virus herpesvirus bovine-1 (BoHV-1). Gejalanya beragam dan termasuk bentuk pernafasan, konjungtival, ensefalitik, genital, dan neonatal."
Blackleg ,"Blackleg atau radang paha adalah penyakit ini disebabkan oleh bakteri Clostridium chauvoei yang menghasilkan toksin mematikan dan menyebabkan gangren otot serta miositis emphysematosa. Biasanya menyerang hewan muda, gejalanya meliputi kelumpuhan, kebengkakan otot di daerah bahu dan paha, serta terdengarnya suara krepitasi saat ditekan."
Colibacillosis,"Colibacillosis adalah penyakit yang disebabkan oleh bakteri Escherichia coli (E.coli) Gejalanya meliputi diare, demam, dan kematian cepat. Diagnosa didasarkan pada isolasi bakteri dari spesimen seperti darah jantung atau usus. "
Dermatophilosis ,"Dermatophilosis adalah penyakit kulit yang menyebabkan peradangan dan pembentukan keropeng pada kulit hewan seperti sapi, kambing, domba, kuda, dan bahkan manusia. Disebabkan oleh bakteri Dermatophilus congolensis, penyakit ini menunjukkan gejala berupa papula, pustula, dan pembentukan keropeng yang tebal dan keras. "
Heartwater,"Heartwater adalah penyakit yang disebabkan oleh bakteri Cowdria ruminantum dan ditularkan melalui caplak. Penyakit ini mempengaruhi domba, kambing, sapi, dan kerbau. Gejalanya termasuk demam tinggi, kelainan pada jantung, paru-paru, dan peritoneum."
Orf,"Orf adalah penyakit kulit menular pada kambing dan domba yang ditandai oleh lesi di sekitar bibir. Disebabkan oleh virus Parapox, gejalanya meliputi lepuh, keropeng, dan peradangan kulit di area mulut, mata, genital, ambing, dan kaki. Penyakit ini bisa menular ke manusia, menyebabkan lepuh pada tangan dan lengan."
Leptospirosis,
Listeriosis,
Mastitis,
Paratuberkulosis,
Pink eye,
Salmonellosis,
Tuberkulosis,
Aspergillosis,
Anaplasmosis,
Babesiosis,
