Penyakit,Gejala 1,Gejala 2,Gejala 3,Gejala 4,Gejala 5,Gejala 6,Gejala 7,Gejala 8,Gejala 9,Gejala 10,Gejala 11,Gejala 12,Gejala 13,Gejala 14,Gejala 15,Gejala 16,Gejala 17,Gejala 18,Gejala 19
Brucellosis,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Gemetar ,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Apthea Epizootica (AE),Tidak nafsu makan,Bulu kusam,Radang lidah,Radang mulut ,Hypersalivasi,Kesulitan mengunyah ,Lepuh pada gusi,Penurunan produksi susu,Kuku dapat terlepas,Selaput lendir lidah terkelupas,,,,,,,,,
Apthea Epizootica (AE),Tidak nafsu makan,Bulu kusam,Radang lidah,Radang mulut ,Hypersalivasi,Kesulitan mengunyah ,Lepuh pada gusi,Penurunan produksi susu,Kuku dapat terlepas,,,,,,,,,,
Apthea Epizootica (AE),Tidak nafsu makan,Bulu kusam,Radang lidah,Radang mulut ,Hypersalivasi,Kesulitan mengunyah ,Lepuh pada gusi,Penurunan produksi susu,Selaput lendir lidah terkelupas,,,,,,,,,,
Apthea Epizootica (AE),Tidak nafsu makan,Bulu kusam,Radang lidah,Radang mulut ,Hypersalivasi,Kesulitan mengunyah ,Lepuh pada gusi,Kuku dapat terlepas,Selaput lendir lidah terkelupas,,,,,,,,,,
Apthea Epizootica (AE),Tidak nafsu makan,Bulu kusam,Radang lidah,Radang mulut ,Hypersalivasi,Kesulitan mengunyah ,Penurunan produksi susu,Kuku dapat terlepas,Selaput lendir lidah terkelupas,,,,,,,,,,
Apthea Epizootica (AE),Tidak nafsu makan,Bulu kusam,Radang lidah,Radang mulut ,Hypersalivasi,Lepuh pada gusi,Penurunan produksi susu,Kuku dapat terlepas,Selaput lendir lidah terkelupas,,,,,,,,,,
Apthea Epizootica (AE),Tidak nafsu makan,Bulu kusam,Radang lidah,Radang mulut ,Kesulitan mengunyah ,Lepuh pada gusi,Penurunan produksi susu,Kuku dapat terlepas,Selaput lendir lidah terkelupas,,,,,,,,,,
Apthea Epizootica (AE),Tidak nafsu makan,Bulu kusam,Radang lidah,Hypersalivasi,Kesulitan mengunyah ,Lepuh pada gusi,Penurunan produksi susu,Kuku dapat terlepas,Selaput lendir lidah terkelupas,,,,,,,,,,
Apthea Epizootica (AE),Tidak nafsu makan,Bulu kusam,Radang mulut ,Hypersalivasi,Kesulitan mengunyah ,Lepuh pada gusi,Penurunan produksi susu,Kuku dapat terlepas,Selaput lendir lidah terkelupas,,,,,,,,,,
Apthea Epizootica (AE),Tidak nafsu makan,Radang lidah,Radang mulut ,Hypersalivasi,Kesulitan mengunyah ,Lepuh pada gusi,Penurunan produksi susu,Kuku dapat terlepas,Selaput lendir lidah terkelupas,,,,,,,,,,
Apthea Epizootica (AE),Bulu kusam,Radang lidah,Radang mulut ,Hypersalivasi,Kesulitan mengunyah ,Lepuh pada gusi,Penurunan produksi susu,Kuku dapat terlepas,Selaput lendir lidah terkelupas,,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Terlihat lesu,Gemetar,Hypersalivasi,Kekakuan anggota gerak,Pincang,Keluar cairan pada hidung,Keluar cairan pada mata,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Terlihat lesu,Gemetar,Hypersalivasi,Kekakuan anggota gerak,Pincang,Keluar cairan pada hidung,Keluar cairan pada mata,Penurunan produksi susu,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Terlihat lesu,Gemetar,Hypersalivasi,Kekakuan anggota gerak,Pincang,Keluar cairan pada hidung,Keluar cairan pada mata,Pembengkakan punggung,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Terlihat lesu,Gemetar,Hypersalivasi,Kekakuan anggota gerak,Pincang,Keluar cairan pada hidung,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Terlihat lesu,Gemetar,Hypersalivasi,Kekakuan anggota gerak,Pincang,Keluar cairan pada mata,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Terlihat lesu,Gemetar,Hypersalivasi,Kekakuan anggota gerak,Keluar cairan pada hidung,Keluar cairan pada mata,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Terlihat lesu,Gemetar,Hypersalivasi,Pincang,Keluar cairan pada hidung,Keluar cairan pada mata,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Terlihat lesu,Gemetar,Kekakuan anggota gerak,Pincang,Keluar cairan pada hidung,Keluar cairan pada mata,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Terlihat lesu,Hypersalivasi,Kekakuan anggota gerak,Pincang,Keluar cairan pada hidung,Keluar cairan pada mata,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Kesulitan bernapas,Gemetar,Hypersalivasi,Kekakuan anggota gerak,Pincang,Keluar cairan pada hidung,Keluar cairan pada mata,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,,
Bovine Epheral Fever (BEF),Demam tinggi,Terlihat lesu,Gemetar,Hypersalivasi,Kekakuan anggota gerak,Pincang,Keluar cairan pada hidung,Keluar cairan pada mata,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,,
Bovine Epheral Fever (BEF),Kesulitan bernapas,Terlihat lesu,Gemetar,Hypersalivasi,Kekakuan anggota gerak,Pincang,Keluar cairan pada hidung,Keluar cairan pada mata,Penurunan produksi susu,Pembengkakan punggung,,,,,,,,,
Trypanosomiasis,Demam,Tidak nafsu makan,Tubuh kurus,Bulu rontok,Anemia,Busung daerah dagu,Keluar cairan pada hidung,Keluar cairan pada mata,Gemetar,Berjalan sempoyongan ,,,,,,,,,
Trypanosomiasis,Demam,Tidak nafsu makan,Tubuh kurus,Bulu rontok,Anemia,Busung daerah dagu,Keluar cairan pada hidung,Keluar cairan pada mata,Gemetar,,,,,,,,,,
Trypanosomiasis,Demam,Tidak nafsu makan,Tubuh kurus,Bulu rontok,Anemia,Busung daerah dagu,Keluar cairan pada hidung,Keluar cairan pada mata,Berjalan sempoyongan ,,,,,,,,,,
Trypanosomiasis,Demam,Tidak nafsu makan,Tubuh kurus,Bulu rontok,Anemia,Busung daerah dagu,Keluar cairan pada hidung,Gemetar,Berjalan sempoyongan ,,,,,,,,,,
Trypanosomiasis,Demam,Tidak nafsu makan,Tubuh kurus,Bulu rontok,Anemia,Busung daerah dagu,Keluar cairan pada mata,Gemetar,Berjalan sempoyongan ,,,,,,,,,,
Trypanosomiasis,Demam,Tidak nafsu makan,Tubuh kurus,Bulu rontok,Anemia,Keluar cairan pada hidung,Keluar cairan pada mata,Gemetar,Berjalan sempoyongan ,,,,,,,,,,
Trypanosomiasis,Demam,Tidak nafsu makan,Tubuh kurus,Bulu rontok,Busung daerah dagu,Keluar cairan pada hidung,Keluar cairan pada mata,Gemetar,Berjalan sempoyongan ,,,,,,,,,,
Trypanosomiasis,Demam,Tidak nafsu makan,Tubuh kurus,Anemia,Busung daerah dagu,Keluar cairan pada hidung,Keluar cairan pada mata,Gemetar,Berjalan sempoyongan ,,,,,,,,,,
Trypanosomiasis,Demam,Tidak nafsu makan,Bulu rontok,Anemia,Busung daerah dagu,Keluar cairan pada hidung,Keluar cairan pada mata,Gemetar,Berjalan sempoyongan ,,,,,,,,,,
Trypanosomiasis,Demam,Tubuh kurus,Bulu rontok,Anemia,Busung daerah dagu,Keluar cairan pada hidung,Keluar cairan pada mata,Gemetar,Berjalan sempoyongan ,,,,,,,,,,
Trypanosomiasis,Tidak nafsu makan,Tubuh kurus,Bulu rontok,Anemia,Busung daerah dagu,Keluar cairan pada hidung,Keluar cairan pada mata,Gemetar,Berjalan sempoyongan ,,,,,,,,,,
Fasciolasis,Konstipasi,Sembelit,Mencret,Tubuh kurus,Bulu berdiri,Stres,Perut membesar,Anemia,Selaput lendir pucat kekuningan,Busung di bawah rahang,Busung di bawah perut ,Hambatan pertumbuhan,Kondisi lemah,,,,,,
Fasciolasis,Konstipasi,Sembelit,Mencret,Tubuh kurus,Bulu berdiri,Stres,Perut membesar,Anemia,Selaput lendir pucat kekuningan,Busung di bawah rahang,Busung di bawah perut ,Hambatan pertumbuhan,,,,,,,
Fasciolasis,Konstipasi,Sembelit,Mencret,Tubuh kurus,Bulu berdiri,Stres,Perut membesar,Anemia,Selaput lendir pucat kekuningan,Busung di bawah rahang,Busung di bawah perut ,Kondisi lemah,,,,,,,
Fasciolasis,Konstipasi,Sembelit,Mencret,Tubuh kurus,Bulu berdiri,Stres,Perut membesar,Anemia,Selaput lendir pucat kekuningan,Busung di bawah rahang,Hambatan pertumbuhan,Kondisi lemah,,,,,,,
Fasciolasis,Konstipasi,Sembelit,Mencret,Tubuh kurus,Bulu berdiri,Stres,Perut membesar,Anemia,Selaput lendir pucat kekuningan,Busung di bawah perut ,Hambatan pertumbuhan,Kondisi lemah,,,,,,,
Fasciolasis,Konstipasi,Sembelit,Mencret,Tubuh kurus,Bulu berdiri,Stres,Perut membesar,Anemia,Busung di bawah rahang,Busung di bawah perut ,Hambatan pertumbuhan,Kondisi lemah,,,,,,,
Fasciolasis,Konstipasi,Sembelit,Mencret,Tubuh kurus,Bulu berdiri,Stres,Perut membesar,Selaput lendir pucat kekuningan,Busung di bawah rahang,Busung di bawah perut ,Hambatan pertumbuhan,Kondisi lemah,,,,,,,
Fasciolasis,Konstipasi,Sembelit,Mencret,Tubuh kurus,Bulu berdiri,Stres,Anemia,Selaput lendir pucat kekuningan,Busung di bawah rahang,Busung di bawah perut ,Hambatan pertumbuhan,Kondisi lemah,,,,,,,
