Penyakit,Gejala 1,Gejala 2,Gejala 3,Gejala 4,Gejala 5,Gejala 6,Gejala 7,Gejala 8,Gejala 9,Gejala 10,Gejala 11,Gejala 12,Gejala 13,Gejala 14,Gejala 15,Gejala 16,Gejala 17,Gejala 18,Gejala 19
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Berjalan sempoyongan ,Demam tinggi,Gemetar,Kematian mendadak,Kesulitan bernapas,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,
Anthrax,Perdarahan lubang kumlah,Mudah ambruk ,Kondisi lemah,Kesulitan bernapas,Kematian mendadak,Gemetar,Demam tinggi,Berjalan sempoyongan ,,,,,,,,,,,
Anthrax,Perdarahan lubang kumlah,Demam tinggi,Gemetar,Kematian mendadak,Berjalan sempoyongan ,Kondisi lemah,Mudah ambruk ,Kesulitan bernapas,,,,,,,,,,,
Anthrax,Berjalan sempoyongan ,Demam tinggi,Gemetar,Kematian mendadak,Kesulitan bernapas,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,
Anthrax,Kondisi lemah,Perdarahan lubang kumlah,Demam tinggi,Mudah ambruk ,Kematian mendadak,Berjalan sempoyongan ,Kesulitan bernapas,Gemetar,,,,,,,,,,,
Anthrax,Berjalan sempoyongan ,Demam tinggi,Gemetar,Kematian mendadak,Kesulitan bernapas,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Cairan janin keruh,Pembengkakan persendian lutut,Keguguran,Kemandulan permanen,Kemandulan temporer,Penurunan produksi susu,Radang buah pelir,Radang saluran sperma,,,,,,,,,,,
Brucellosis,Kemandulan permanen,Penurunan produksi susu,Keguguran,Radang buah pelir,Radang saluran sperma,Kemandulan temporer,Pembengkakan persendian lutut,Cairan janin keruh,,,,,,,,,,,
Brucellosis,Cairan janin keruh,Radang buah pelir,Penurunan produksi susu,Kemandulan temporer,Pembengkakan persendian lutut,Keguguran,Kemandulan permanen,Radang saluran sperma,,,,,,,,,,,
Brucellosis,Pembengkakan persendian lutut,Cairan janin keruh,Kemandulan temporer,Radang saluran sperma,Penurunan produksi susu,Keguguran,Radang buah pelir,Kemandulan permanen,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Cairan janin keruh,Penurunan produksi susu,Radang saluran sperma,Radang buah pelir,Pembengkakan persendian lutut,Kemandulan permanen,,,,,,,,,,,
Brucellosis,Kemandulan temporer,Keguguran,Cairan janin keruh,Kemandulan permanen,Penurunan produksi susu,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata sayu dan berair,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Terlihat lesu,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Gemetar,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Gemetar ,Terlihat lesu,Mata sayu dan berair,Mata hiperemik,Kesulitan bernapas ,Suara ngorok,Konstipasi,Pembengkakan kepala,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,,
Septichaemia Epizootica (SE),Gemetar,Konstipasi,Suara ngorok,Mata sayu dan berair,Mata hiperemik,Terlihat lesu,Kesulitan bernapas ,Pembengkakan leher,Pembengkakan tenggorokan,Demam tinggi,Kematian mendadak,Pembengkakan kepala,,,,,,,
Septichaemia Epizootica (SE),Demam tinggi,Suara ngorok,Konstipasi,Terlihat lesu,Pembengkakan kepala,Mata sayu dan berair,Kesulitan bernapas ,Gemetar,Mata hiperemik,Pembengkakan tenggorokan,Pembengkakan leher,Kematian mendadak,,,,,,,
Septichaemia Epizootica (SE),Mata sayu dan berair,Demam tinggi,Pembengkakan tenggorokan,Pembengkakan leher,Gemetar,Pembengkakan kepala,Suara ngorok,Kematian mendadak,Konstipasi,Mata hiperemik,Kesulitan bernapas ,Terlihat lesu,,,,,,,
Septichaemia Epizootica (SE),Pembengkakan tenggorokan,Terlihat lesu,Suara ngorok,Demam tinggi,Pembengkakan leher,Konstipasi,Mata sayu dan berair,Kesulitan bernapas ,Kematian mendadak,Pembengkakan kepala,Mata hiperemik,Gemetar,,,,,,,
Septichaemia Epizootica (SE),Kesulitan bernapas ,Kematian mendadak,Pembengkakan kepala,Suara ngorok,Mata hiperemik,Mata sayu dan berair,Demam tinggi,Pembengkakan tenggorokan,Terlihat lesu,Gemetar,Konstipasi,Pembengkakan leher,,,,,,,
Septichaemia Epizootica (SE),Pembengkakan leher,Suara ngorok,Kesulitan bernapas ,Kematian mendadak,Mata hiperemik,Gemetar,Pembengkakan tenggorokan,Pembengkakan kepala,Terlihat lesu,Mata sayu dan berair,Konstipasi,Demam tinggi,,,,,,,
Septichaemia Epizootica (SE),Gemetar,Kematian mendadak,Terlihat lesu,Pembengkakan tenggorokan,Suara ngorok,Mata hiperemik,Pembengkakan kepala,Demam tinggi,Pembengkakan leher,Konstipasi,Kesulitan bernapas ,Mata sayu dan berair,,,,,,,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Keluar cairan pada mata,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada hidung,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Demam tinggi,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Keluar cairan pada hidung,Keluar cairan pada mata,Radang mulut,Erosi permukaan lidah,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Kesulitan bernapas ,Tubuh kurus,Kornea mata keruh keputihan,Radang kulit,Pembengkakan kelenjar limfe,Sembelit,Radang otak,Berjalan sempoyongan ,Gemetar,Kelumpuhan sebelum mati,Kematian mendadak,
Malignant Catrrahal Fever,Moncong kering ,Radang otak,Tubuh kurus,Demam tinggi,Sembelit,Keluar cairan pada mata,Berjalan sempoyongan ,Pembengkakan kelenjar limfe,Kornea mata keruh keputihan,Radang mulut,Moncong pecah terisi eksudat ,Kematian mendadak,Keluar cairan pada hidung,Kelumpuhan sebelum mati,Erosi permukaan lidah,Radang kulit,Gemetar,Hidung tersumbat kerak,Kesulitan bernapas 
Malignant Catrrahal Fever,Sembelit,Radang otak,Demam tinggi,Kelumpuhan sebelum mati,Tubuh kurus,Erosi permukaan lidah,Gemetar,Kornea mata keruh keputihan,Radang mulut,Hidung tersumbat kerak,Kematian mendadak,Berjalan sempoyongan ,Keluar cairan pada hidung,Radang kulit,Kesulitan bernapas ,Pembengkakan kelenjar limfe,Moncong kering ,Keluar cairan pada mata,Moncong pecah terisi eksudat 
Malignant Catrrahal Fever,Keluar cairan pada hidung,Kesulitan bernapas ,Radang otak,Kelumpuhan sebelum mati,Sembelit,Moncong pecah terisi eksudat ,Kornea mata keruh keputihan,Tubuh kurus,Berjalan sempoyongan ,Kematian mendadak,Keluar cairan pada mata,Radang kulit,Erosi permukaan lidah,Gemetar,Hidung tersumbat kerak,Demam tinggi,Pembengkakan kelenjar limfe,Moncong kering ,Radang mulut
Malignant Catrrahal Fever,Gemetar,Moncong kering ,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Keluar cairan pada hidung,Erosi permukaan lidah,Demam tinggi,Kematian mendadak,Radang otak,Tubuh kurus,Kesulitan bernapas ,Radang kulit,Kornea mata keruh keputihan,Pembengkakan kelenjar limfe,Berjalan sempoyongan ,Kelumpuhan sebelum mati,Radang mulut,Sembelit,Keluar cairan pada mata
Malignant Catrrahal Fever,Kesulitan bernapas ,Kornea mata keruh keputihan,Radang kulit,Keluar cairan pada mata,Sembelit,Hidung tersumbat kerak,Radang mulut,Berjalan sempoyongan ,Moncong pecah terisi eksudat ,Moncong kering ,Erosi permukaan lidah,Keluar cairan pada hidung,Tubuh kurus,Radang otak,Gemetar,Pembengkakan kelenjar limfe,Kelumpuhan sebelum mati,Kematian mendadak,Demam tinggi
Malignant Catrrahal Fever,Moncong pecah terisi eksudat ,Hidung tersumbat kerak,Keluar cairan pada hidung,Kelumpuhan sebelum mati,Gemetar,Tubuh kurus,Kesulitan bernapas ,Moncong kering ,Pembengkakan kelenjar limfe,Berjalan sempoyongan ,Demam tinggi,Erosi permukaan lidah,Keluar cairan pada mata,Radang kulit,Sembelit,Radang otak,Kematian mendadak,Radang mulut,Kornea mata keruh keputihan
Malignant Catrrahal Fever,Kelumpuhan sebelum mati,Radang otak,Keluar cairan pada mata,Keluar cairan pada hidung,Radang mulut,Erosi permukaan lidah,Pembengkakan kelenjar limfe,Tubuh kurus,Demam tinggi,Kematian mendadak,Hidung tersumbat kerak,Moncong kering ,Berjalan sempoyongan ,Kornea mata keruh keputihan,Moncong pecah terisi eksudat ,Sembelit,Gemetar,Kesulitan bernapas ,Radang kulit
